age,arab,children_0_4,lwage_2011,marital,schooling,status,yeshiva
48,0,0,4.558558,1,12,1,0
39,0,0,,4,12,4,0
73,0,0,,1,16,4,0
49,0,0,,1,0,4,0
41,0,0,4.197145,1,17,1,0
21,0,0,2.921956,4,12,1,0
65,0,0,4.596542,1,14,1,0
78,0,0,,1,17,4,0
64,0,0,,1,11,4,0
79,0,0,,5,16,4,0
35,0,0,3.153259,4,12,1,0
34,0,0,,4,12,4,0
63,0,0,,1,13,4,0
21,0,0,,4,12,4,0
61,0,0,,4,14,4,0
49,0,0,3.954869,2,15,1,0
37,0,1,3.604594,1,12,1,0
39,0,1,3.314186,1,12,1,0
65,0,0,2.883635,1,8,1,0
38,0,0,,2,11,4,0
39,0,2,4.809082,1,12,1,0
35,0,1,4.562856,1,18,1,0
30,0,1,3.725041,1,12,1,0
26,0,0,3.376948,4,15,1,0
27,0,0,3.418749,4,15,1,0
28,0,0,4.462851,1,17,1,0
56,0,0,5.213498,1,20,1,0
56,0,0,4.743097,1,15,1,0
21,0,0,,4,14,4,0
17,0,0,,4,12,4,0
75,0,0,,3,14,4,0
61,0,0,,1,14,4,0
30,0,0,3.019316,4,19,1,0
31,0,1,4.255613,1,17,1,0
72,0,0,,1,20,4,0
37,0,2,4.833956,1,21,1,0
26,0,0,3.009494,4,17,1,0
21,0,0,,4,14,4,0
26,0,0,3.380979,4,17,1,0
21,0,0,,4,16,4,0
21,0,0,2.672959,4,15,1,0
79,0,0,,1,12,4,0
74,0,0,,1,15,4,0
33,0,0,3.503088,4,16,1,0
72,0,0,,3,14,4,0
21,0,0,,4,12,4,0
21,0,0,3.128205,4,12,1,0
54,0,0,4.622434,1,16,1,0
53,0,0,,1,11,4,0
29,0,0,,4,12,4,0
21,0,0,,4,12,4,0
69,0,0,,1,8,4,0
56,0,0,,3,10,4,0
53,0,0,4.005126,1,9,1,0
79,0,0,,1,10,4,0
45,0,0,3.497417,1,12,1,0
71,0,0,,1,11,4,0
44,0,0,4.05656,1,12,1,0
17,0,0,,4,11,4,0
21,0,0,,4,12,4,0
52,0,0,4.515695,1,12,1,0
29,0,0,,4,18,4,0
62,0,0,,1,14,4,0
64,0,0,,1,12,4,0
54,0,0,4.005652,1,16,1,0
16,0,0,,4,11,4,0
35,1,0,3.846776,5,18,1,0
41,0,0,2.963263,1,12,1,0
75,0,0,,1,23,4,0
68,0,0,,1,15,4,0
21,0,0,2.278037,4,13,1,0
25,0,0,2.716483,4,13,1,0
26,0,0,3.795128,1,18,1,0
21,0,0,3.007898,4,12,1,0
63,0,0,4.690423,1,21,2,0
21,0,0,3.210549,4,12,1,0
32,0,1,3.448036,1,14,1,0
49,0,0,4.249485,1,12,1,0
62,0,0,4.101458,1,15,1,0
21,0,0,3.361946,4,14,1,0
82,0,0,,1,12,4,0
61,0,0,2.811099,1,15,1,0
35,0,1,5.324655,1,15,1,0
37,0,2,4.857911,1,18,1,0
35,0,2,3.777417,1,16,1,0
21,0,0,,4,12,4,0
56,0,0,,1,12,4,0
65,0,0,3.496578,1,10,1,0
21,0,0,,4,12,4,0
35,0,0,4.005694,1,12,1,0
26,0,2,,4,11,4,0
59,0,2,5.107044,1,15,1,0
34,0,2,3.234003,1,15,1,0
68,0,0,,1,17,4,0
33,0,0,,4,8,4,0
76,0,0,,1,7,4,0
45,0,1,,1,15,4,0
26,0,2,,1,14,4,0
27,0,0,3.334072,1,12,1,0
58,0,0,,1,13,4,0
66,0,0,,1,7,4,0
21,0,0,,4,12,4,0
54,0,0,,1,12,4,0
53,0,0,5.0374,1,11,1,0
49,0,0,,1,12,4,0
21,0,0,,4,10,4,0
15,0,0,,4,10,4,0
29,0,0,3.571547,1,16,1,0
60,0,0,3.605431,1,13,1,0
79,0,0,,1,5,4,0
32,0,0,3.346617,1,13,1,0
21,0,0,,4,12,4,0
53,0,0,,2,9,4,0
69,0,0,,1,15,4,0
15,0,0,,4,10,4,0
21,0,0,,4,12,4,0
49,0,0,5.213001,1,17,1,0
66,0,0,3.303421,1,8,1,0
35,0,0,3.495677,1,12,1,0
17,0,0,,4,11,4,0
29,0,0,3.576488,4,15,1,0
57,0,0,3.25802,1,22,1,0
25,0,3,3.740415,1,16,1,0
72,0,0,,1,16,4,0
65,0,0,2.810172,2,16,1,0
59,0,0,5.275614,1,16,1,0
31,0,0,3.749213,4,18,1,0
21,0,0,3.185954,4,12,1,0
21,0,0,,4,13,4,0
49,0,0,4.060045,1,12,1,0
41,0,1,3.76197,1,14,1,0
39,0,0,,4,18,4,0
66,0,0,5.04025,1,12,1,0
34,0,0,,1,21,4,0
15,0,1,,4,9,4,0
17,0,1,,4,12,4,0
63,0,1,4.822291,1,19,1,0
33,0,2,,1,8,4,0
33,0,1,3.409402,1,12,1,0
27,0,0,3.252187,4,8,1,0
27,0,0,3.559044,4,16,1,0
53,0,0,4.446583,1,10,1,0
26,0,0,2.82539,4,12,1,0
49,0,0,3.784872,1,24,1,0
34,0,2,3.954967,1,29,1,1
33,0,3,,1,27,4,0
29,0,3,,1,14,4,0
32,0,0,4.508797,1,18,1,0
42,0,0,3.693009,1,10,1,0
82,0,0,,1,15,4,0
55,0,0,4.149829,1,12,1,0
39,0,0,4.855597,1,17,1,0
63,0,0,,1,17,4,0
25,0,0,3.27304,4,15,1,0
58,0,0,4.511347,2,18,1,0
30,0,0,3.856467,1,20,1,0
50,0,0,4.740605,1,20,1,0
21,0,0,,4,12,4,0
